id,name,cleanName,genre,releaseYear,doesName,yesSum,noSum
9593,Fight Club,fight_club,drama,1999,Does the dog die,3,99
9593,Fight Club,fight_club,drama,1999,Were animals harmed in the making,1,30
9593,Fight Club,fight_club,drama,1999,Does an animal die,0,67
9593,Fight Club,fight_club,drama,1999,Are animals abused,3,67
9593,Fight Club,fight_club,drama,1999,Is there dog fighting,1,66
9593,Fight Club,fight_club,drama,1999,Is there a dead animal,0,56
9593,Fight Club,fight_club,drama,1999,Is an animal sad,0,22
9593,Fight Club,fight_club,drama,1999,Are rabbits harmed,0,26
9593,Fight Club,fight_club,drama,1999,Does a cat die,0,69
9593,Fight Club,fight_club,drama,1999,Does a pet die,1,34
9593,Fight Club,fight_club,drama,1999,Does a dragon die,0,63
9593,Fight Club,fight_club,drama,1999,Are there spiders,16,55
9593,Fight Club,fight_club,drama,1999,Are there alligators/crocodiles?,0,26
9593,Fight Club,fight_club,drama,1999,Are there snakes,1,60
9593,Fight Club,fight_club,drama,1999,Are there sharks,0,25
9593,Fight Club,fight_club,drama,1999,Are there bugs,2,55
9593,Fight Club,fight_club,drama,1999,Does a horse die,0,70
9593,Fight Club,fight_club,drama,1999,Is a child abandoned by a parent,33,5
9593,Fight Club,fight_club,drama,1999,Is an animal abandoned,0,29
9593,Fight Club,fight_club,drama,1999,Does someone leave without saying goodbye,25,1
9593,Fight Club,fight_club,drama,1999,Is someone stalked,54,6
9593,Fight Club,fight_club,drama,1999,Does an abused person forgive their abuser,0,25
9593,Fight Club,fight_club,drama,1999,Does the abused become the abuser,29,5
9593,Fight Club,fight_club,drama,1999,Is someone gaslighted,83,1
9593,Fight Club,fight_club,drama,1999,Is someone abused with a belt,0,23
9593,Fight Club,fight_club,drama,1999,Is a child abused,0,62
9593,Fight Club,fight_club,drama,1999,Is a woman brutalized for spectacle,0,22
9593,Fight Club,fight_club,drama,1999,Is there domestic violence,4,49
9593,Fight Club,fight_club,drama,1999,Are there abusive parents,0,24
9593,Fight Club,fight_club,drama,1999,Does someone abuse alcohol,5,54
9593,Fight Club,fight_club,drama,1999,Is there addiction,79,0
9593,Fight Club,fight_club,drama,1999,Does someone use drugs,77,1
9593,Fight Club,fight_club,drama,1999,Is there pedophilia,8,21
9593,Fight Club,fight_club,drama,1999,Is someone held under water,0,28
9593,Fight Club,fight_club,drama,1999,Is rape mentioned,13,15
9593,Fight Club,fight_club,drama,1999,Is someone beaten up by a bully,3,20
9593,Fight Club,fight_club,drama,1999,Is someone restrained,42,0
9593,Fight Club,fight_club,drama,1999,Is someone sexually assaulted,11,48
9593,Fight Club,fight_club,drama,1999,Is someone's mouth covered,19,0
9593,Fight Club,fight_club,drama,1999,Are there jokes about sexual assault on men,1,24
9593,Fight Club,fight_club,drama,1999,Is someone raped onscreen,0,33
9593,Fight Club,fight_club,drama,1999,Does a woman get slapped,0,22
9593,Fight Club,fight_club,drama,1999,Is someone drugged,4,21
9593,Fight Club,fight_club,drama,1999,Are any hands damaged,27,0
9593,Fight Club,fight_club,drama,1999,Are there dislocations,16,1
9593,Fight Club,fight_club,drama,1999,Is there throat mutilation,16,1
9593,Fight Club,fight_club,drama,1999,Does someone struggle to breathe,53,1
9593,Fight Club,fight_club,drama,1999,Is there decapitation,0,23
9593,Fight Club,fight_club,drama,1999,Is there cannibalism,0,48
9593,Fight Club,fight_club,drama,1999,Is someone crushed to death,0,28
9593,Fight Club,fight_club,drama,1999,Is someone choked,13,8
9593,Fight Club,fight_club,drama,1999,Is someone burned alive,44,18
9593,Fight Club,fight_club,drama,1999,Is someone buried alive,1,45
9593,Fight Club,fight_club,drama,1999,Is there body horror,13,20
9593,Fight Club,fight_club,drama,1999,Is there amputation,1,41
9593,Fight Club,fight_club,drama,1999,Does a head get squashed,8,49
9593,Fight Club,fight_club,drama,1999,Is there Achilles Tendon injury,0,29
9593,Fight Club,fight_club,drama,1999,Is there shaving/cutting,59,0
9593,Fight Club,fight_club,drama,1999,Does someone asphyxiate,0,28
9593,Fight Club,fight_club,drama,1999,Is there genital trauma/mutilation,51,4
9593,Fight Club,fight_club,drama,1999,Does someone become unconscious,27,0
9593,Fight Club,fight_club,drama,1999,Does someone break a bone,60,0
9593,Fight Club,fight_club,drama,1999,Does someone have a seizure,0,51
9593,Fight Club,fight_club,drama,1999,Are any teeth damaged,80,0
9593,Fight Club,fight_club,drama,1999,Is there finger/toe mutilation,3,50
9593,Fight Club,fight_club,drama,1999,Is someone tortured,70,3
9593,Fight Club,fight_club,drama,1999,Does someone fall down stairs,32,0
9593,Fight Club,fight_club,drama,1999,Does someone fall to their death,1,41
9593,Fight Club,fight_club,drama,1999,Is there eye mutilation,12,46
9593,Fight Club,fight_club,drama,1999,Is someone stabbed,0,19
9593,Fight Club,fight_club,drama,1999,Is there excessive gore,45,3
9593,Fight Club,fight_club,drama,1999,Is there a hanging,1,53
9593,Fight Club,fight_club,drama,1999,Is an infant abducted,0,27
9593,Fight Club,fight_club,drama,1999,Is a minor sexualized,7,24
9593,Fight Club,fight_club,drama,1999,Does a kid die,0,50
9593,Fight Club,fight_club,drama,1999,Are there bedbugs,0,18
9593,Fight Club,fight_club,drama,1999,Does someone sacrifice themselves,25,0
9593,Fight Club,fight_club,drama,1999,Does a non-human character die,0,22
